DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Weapon Desc,Status Desc,LOCATION
220319477,2022-10-27,2020-07-01,1200,Southwest,THEFT OF IDENTITY,42,M,H,,Invest Cont,800 W  JEFFERSON                    BL
221420220,2022-12-10,2020-10-24,1500,Pacific,THEFT OF IDENTITY,21,F,W,,Invest Cont,10100    TABOR                        ST
221615196,2022-12-16,2020-12-01,0001,Foothill,THEFT OF IDENTITY,22,M,W,,Invest Cont,12100    MERCER                       ST
220717687,2022-12-12,2020-02-12,0840,Wilshire,THEFT OF IDENTITY,26,M,W,,Invest Cont,400 N  FULLER                       AV
221225047,2022-12-09,2020-12-02,1535,77th Street,THEFT OF IDENTITY,29,F,B,,Invest Cont,6800    10TH                         AV
220717203,2022-11-30,2020-03-01,0945,Wilshire,THEFT OF IDENTITY,54,F,J,,Invest Cont,100 N  FULLER                       AV
230406865,2023-03-28,2020-06-28,1250,Hollenbeck,THEFT OF IDENTITY,34,F,B,,Invest Cont,3400    PERCY                        ST
220517340,2022-12-23,2020-07-29,2200,Harbor,THEFT OF IDENTITY,25,F,H,,Invest Cont,100 S  ARBOLES                      CT
220321001,2022-11-29,2020-02-18,2120,Southwest,THEFT OF IDENTITY,44,F,H,,Invest Cont,2700    BRIGHTON                     AV
220517192,2022-12-19,2020-07-01,2200,Harbor,BURGLARY FROM VEHICLE,53,M,H,,Invest Cont,25400    PINE CREEK                   LN
220818200,2022-12-15,2020-01-01,0800,West LA,THEFT OF IDENTITY,53,M,A,,Invest Cont,1600 S  HOLT                         AV
220619815,2022-12-01,2020-12-08,0001,Hollywood,THEFT OF IDENTITY,58,F,H,,Invest Cont,1500 N  FAIRFAX                      AV
220416014,2022-12-05,2020-04-29,0001,Hollenbeck,THEFT OF IDENTITY,75,M,H,,Invest Cont,300 N  MATHEWS                      ST
220221184,2022-12-05,2020-01-01,1200,Rampart,THEFT OF IDENTITY,19,F,B,,Invest Cont,2600    WILSHIRE                     BL
220320024,2022-11-09,2020-11-09,0001,Southwest,THEFT OF IDENTITY,24,F,H,,Invest Cont,500 W  43RD                         ST
221225134,2022-12-13,2020-06-13,1605,77th Street,THEFT OF IDENTITY,37,M,O,,Invest Cont,5300    RUTHELEN                     ST
220818171,2022-12-15,2020-06-15,1045,West LA,THEFT OF IDENTITY,29,F,O,,Invest Cont,2300    WESTWOOD                     BL
220917492,2022-12-20,2020-03-20,1100,Van Nuys,THEFT OF IDENTITY,41,F,O,,Invest Cont,6500    WOODMAN                      AV
231505624,2023-02-09,2020-08-06,1025,N Hollywood,THEFT OF IDENTITY,52,M,W,,Invest Cont,5100    COLFAX                       AV
230110144,2023-04-04,2020-07-03,0900,Central,THEFT OF IDENTITY,25,M,H,,Invest Cont,1100 S  GRAND                        AV
221419817,2022-11-02,2020-12-04,1005,Pacific,THEFT OF IDENTITY,22,F,B,,Invest Cont,6900    KNOWLTON                     PL
220126052,2022-12-08,2020-09-27,0001,Central,THEFT OF IDENTITY,31,M,H,,Invest Cont,600 E  5TH                          ST
221421185,2022-12-20,2020-09-22,1200,Pacific,THEFT OF IDENTITY,44,M,W,,Invest Cont,7100    ALVERN                       ST
220221510,2022-12-08,2020-04-08,1400,Rampart,THEFT OF IDENTITY,30,F,B,,Invest Cont,2600 W  7TH                          ST
221420690,2022-11-16,2020-11-14,1730,Pacific,THEFT PLAIN - PETTY ($950 & UNDER),52,M,W,,Invest Cont,1100    VENICE                       BL
221322455,2022-12-14,2020-08-31,1201,Newton,THEFT OF IDENTITY,48,F,B,,Invest Cont,5200 S  MAIN                         ST
222117263,2022-12-01,2020-01-01,1100,Topanga,THEFT OF IDENTITY,38,M,H,,Invest Cont,7300    VARIEL                       AV
221225690,2022-12-19,2020-05-01,0105,77th Street,THEFT OF IDENTITY,36,F,B,,Invest Cont,5800    CRENSHAW                     BL
220815553,2022-10-14,2020-08-10,1000,West LA,THEFT OF IDENTITY,47,M,W,,Invest Cont,11700    WILSHIRE                     BL
221322193,2022-12-09,2020-06-09,2035,Newton,THEFT OF IDENTITY,39,M,B,,Invest Cont,700 E  56TH                         ST
221918167,2022-12-20,2020-12-19,1900,Mission,BURGLARY FROM VEHICLE,27,F,H,,Invest Cont,14300    TUPPER                       ST
221822190,2022-12-14,2020-06-16,0920,Southeast,THEFT OF IDENTITY,45,F,B,,Invest Cont,1900 S  SANTA ANA                    BL
220718228,2022-12-25,2020-07-21,0120,Wilshire,THEFT OF IDENTITY,55,F,B,,Invest Cont,1900 S  BURNSIDE                     AV
220220118,2022-11-12,2020-11-12,0001,Rampart,THEFT OF IDENTITY,44,F,O,,Invest Cont,2200 W  8TH                          ST
"221715312,2022-10-16,2020-07-11,0200,Devonshire,INTIMATE PARTNER - SIMPLE ASSAULT,30,M,O,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Adult Other,11700    THUNDERBIRD                  AV"
220717331,2022-12-03,2020-11-18,1350,Wilshire,THEFT PLAIN - PETTY ($950 & UNDER),46,F,P,,Invest Cont,5900    BURCHARD                     AV
221322196,2022-12-09,2020-02-09,0545,Newton,THEFT OF IDENTITY,19,M,B,,Invest Cont,6900 S  MAIN                         ST
